Transaction Date,Type,Market,Amount,Rate inc. fee,Rate ex. fee,Fee,Fee AUD (inc GST),GST AUD,Total AUD,Total (inc GST)
8/07/2020 22:06,Buy,RVN/AUD,3288.716414,0.030407,0.030105941,0.9900990099009874 AUD,0.99,0.09,100,100.00 AUD
7/07/2020 0:10,Sell,FET/BTC,1339.468507,3.1086E-06,3.14E-06,0.000042059311104413605 BTC,0.56,0.05,55.58,0.004163871799336986 BTC
7/07/2020 0:09,Buy,BTC/AUD,0.00736335,13580.77,13446.31194,0.9900990099009874 AUD,0.99,0.09,100,100.00 AUD
4/07/2020 7:22,Sell,DGB/FET,2152.4976,0.622285714,0.628571429,13.529984914285706 FET,0.62,0.06,61.83,1339.468506514285 FET
23/06/2020 0:05,Sell,BCH/DGB,0.22,9784.08,9882.909091,21.74240000000009 DGB,0.76,0.07,75.39,2152.4976000000006 DGB
22/06/2020 0:40,Sell,BCH/ETC,0.0048,36.36511873,36.73244316,0.0017631572717945743 ETC,0.02,0,1.62,0.17455256990766208 ETC
22/06/2020 0:39,Buy,ETC/AUD,10.61571125,9.42,9.326732676,0.9900990099009874 AUD,0.99,0.09,100,100.00 AUD
22/06/2020 0:35,Sell,BAT/ETC,101,0.037436294,0.037814439,0.03819258289573568 ETC,0.35,0.03,35,3.781065706677823 ETC
22/06/2020 0:35,Sell,ZRX/ETC,40.5,0.053812832,0.054356396,0.022014340329946425 ETC,0.2,0.02,20.18,2.1794196926647036 ETC
19/06/2020 14:25,Sell,ZRX/ZIL,0.5,14.88807692,15.03846154,0.07519230769230756 ZIL,0,0,0.24,7.444038461538462 ZIL
7/06/2020 10:51,Sell,BTG/EOS,6.74308833,3.215315705,3.247793642,0.21900159402913033 EOS,0.9,0.08,88.94,21.681157808883945 EOS
2/06/2020 9:46,Buy,BTG/AUD,6.74308833,14.83,14.68316833,0.9900990099009874 AUD,0.99,0.09,100,100.00 AUD
26/05/2020 0:17,Sell,ZRX/ICX,0.47669056,0.969593165,0.979387036,0.004668645544236516 ICX,0,0,0.23,0.46219590887941414 ICX
23/05/2020 20:09,Sell,ONE/ETH,11389.52164,1.68953E-05,1.70659E-05,0.001943726847058097 ETH,0.62,0.06,61.82,0.1924289578587511 ETH
